Date,Location,Administered_Dose1_Pop_Pct
2022-03-23,VT,92.6
2022-03-23,WA,80.2
2022-03-23,WI,71.4
2022-03-23,WV,64.5
2022-03-23,WY,58.3
2022-03-24,AK,69.1
2022-03-24,AL,62.2
2022-03-24,AR,66.1
2022-03-24,AS,94
2022-03-24,AZ,72.2
2022-03-24,BP,0
2022-03-24,CA,82.4
2022-03-24,CO,78.8
2022-03-24,CT,94.5
2022-03-24,DC,95
2022-03-24,DD,0
2022-03-24,DE,82.3
2022-03-24,FL,78.5
2022-03-24,FM,62.1
2022-03-24,GA,64.8
2022-03-24,GU,90.5
2022-03-24,HI,86.9
2022-03-24,IA,67.5
2022-03-24,ID,60.6
2022-03-24,IH,52.1
2022-03-24,IL,76.4
2022-03-24,IN,61
2022-03-24,KS,73.9
2022-03-24,KY,65.7
2022-03-24,LA,60.6
2022-03-24,MA,95
2022-03-24,MD,85.5
2022-03-24,ME,89.4
2022-03-24,MH,39.1
2022-03-24,MI,66.5
2022-03-24,MN,74.6
2022-03-24,MO,65.7
2022-03-24,MP,87.4
2022-03-24,MS,59.2
2022-03-24,MT,64.8
2022-03-24,NC,82.9
2022-03-24,ND,64.6
2022-03-24,NE,69.7
2022-03-24,NH,87.9
2022-03-24,NJ,89.6
2022-03-24,NM,86.6
2022-03-24,NV,74.5
2022-03-24,NY,89.5
2022-03-24,OH,63.2
2022-03-24,OK,70.4
2022-03-24,OR,77.3
2022-03-24,PA,83.9
2022-03-24,PR,95
2022-03-24,PW,94.5
2022-03-24,RI,95
2022-03-24,SC,67
2022-03-24,SD,75.4
2022-03-24,TN,61.7
2022-03-24,TX,71.9
2022-03-24,US,76.8
2022-03-24,UT,71.6
2022-03-24,VA,84.9
2022-03-24,VI,64.2
2022-03-24,VT,92.7
2022-03-24,WA,80.2
2022-03-24,WI,71.4
2022-03-24,WV,64.5
2022-03-24,WY,58.3
2022-03-25,AK,69.1
2022-03-25,AL,62.2
2022-03-25,AR,66.1
2022-03-25,AS,94
2022-03-25,AZ,72.2
2022-03-25,BP,0
2022-03-25,CA,82.4
2022-03-25,CO,78.8
2022-03-25,CT,94.5
2022-03-25,DC,95
2022-03-25,DD,0
2022-03-25,DE,82.3
2022-03-25,FL,78.5
2022-03-25,FM,62.1
2022-03-25,GA,64.8
2022-03-25,GU,90.5
2022-03-25,HI,86.9
2022-03-25,IA,67.6
2022-03-25,ID,60.7
2022-03-25,IH,52.1
2022-03-25,IL,76.3
2022-03-25,IN,61
2022-03-25,KS,73.9
2022-03-25,KY,65.7
2022-03-25,LA,60.6
2022-03-25,MA,95
2022-03-25,MD,85.5
2022-03-25,ME,89.4
2022-03-25,MH,39.1
2022-03-25,MI,66.5
2022-03-25,MN,74.6
2022-03-25,MO,65.7
2022-03-25,MP,87.4
2022-03-25,MS,59.2
2022-03-25,MT,64.8
2022-03-25,NC,83
2022-03-25,ND,64.6
2022-03-25,NE,69.7
2022-03-25,NH,87.9
2022-03-25,NJ,89.6
2022-03-25,NM,86.6
2022-03-25,NV,74.5
2022-03-25,NY,89.5
2022-03-25,OH,63.2
2022-03-25,OK,70.4
2022-03-25,OR,77.4
2022-03-25,PA,83.9
2022-03-25,PR,95
2022-03-25,PW,94.5
2022-03-25,RI,95
2022-03-25,SC,67
2022-03-25,SD,75.5
2022-03-25,TN,61.7
2022-03-25,TX,71.9
2022-03-25,US,76.8
2022-03-25,UT,71.6
2022-03-25,VA,84.9
2022-03-25,VI,64.2
2022-03-25,VT,92.7
2022-03-25,WA,80.2
2022-03-25,WI,71.4
2022-03-25,WV,64.5
2022-03-25,WY,58.3
2022-03-26,AK,69.2
2022-03-26,AL,62.2
2022-03-26,AR,66.1
2022-03-26,AS,94.1
2022-03-26,AZ,72.2
2022-03-26,BP,0
2022-03-26,CA,82.4
2022-03-26,CO,78.8
2022-03-26,CT,94.5
2022-03-26,DC,95
2022-03-26,DD,0
2022-03-26,DE,82.3
2022-03-26,FL,78.6
2022-03-26,FM,62.1
2022-03-26,GA,64.8
2022-03-26,GU,90.5
2022-03-26,HI,86.9
2022-03-26,IA,67.6
